tconst,title_key,startYear,year_film,oscar_num_nominations,oscar_num_wins,oscar_was_nominated,oscar_was_winner,year_diff
tt0029608,stella dallas,1937,1937,2,0,1,0,0.0
tt0037913,mildred pierce,1945,1945,6,1,1,1,0.0
tt1950186,ford v ferrari,2019,2019,4,2,1,1,0.0
tt0097757,the little mermaid,1989,1989,3,2,1,1,0.0
tt0036430,this is the army,1943,1943,3,1,1,1,0.0
tt0036855,gaslight,1944,1944,7,2,1,1,0.0
tt0088763,back to the future,1985,1985,4,1,1,1,0.0
tt0082979,reds,1981,1981,12,3,1,1,0.0
tt1490017,the lego movie,2014,2014,1,0,1,0,0.0
tt3716530,elle,2016,2016,1,0,1,0,0.0
tt0091778,poltergeist ii the other side,1986,1986,1,0,1,0,0.0
tt0022599,a nous la liberte,1931,1931,1,0,1,0,0.0
tt0089941,runaway train,1985,1985,3,0,1,0,0.0
tt0436697,the queen,2006,2006,6,1,1,1,0.0
tt0327597,coraline,2009,2009,1,0,1,0,0.0
tt2948372,soul,2020,2020,3,2,1,1,0.0
tt0091538,mona lisa,1986,1986,1,0,1,0,0.0
tt0028355,theodora goes wild,1936,1936,2,0,1,0,0.0
tt0119177,gattaca,1997,1997,1,0,1,0,0.0
tt0061512,cool hand luke,1967,1967,4,1,1,1,0.0
tt12801262,luca,2021,2021,1,0,1,0,0.0
tt0089606,my life as a dog,1985,1987,2,0,1,0,2.0
tt0094291,wall street,1987,1987,1,1,1,1,0.0
tt0117500,the rock,1996,1996,1,0,1,0,0.0
tt1125849,the wrestler,2008,2008,2,0,1,0,0.0
tt1210166,moneyball,2011,2011,6,0,1,0,0.0
tt0457430,pan s labyrinth,2006,2006,6,3,1,1,0.0
tt4550098,nocturnal animals,2016,2016,1,0,1,0,0.0
tt0332452,troy,2004,2004,1,0,1,0,0.0
tt0035015,the magnificent ambersons,1942,1942,4,0,1,0,0.0
tt0029844,the adventures of tom sawyer,1938,1938,1,0,1,0,0.0
