tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0114825,movie,Vampire in Brooklyn,Vampire in Brooklyn,0,1995,\N,100,"Comedy,Fantasy,Horror"
tt0114863,movie,Ulysses' Gaze,To vlemma tou Odyssea,0,1995,\N,176,"Drama,War"
tt0114906,movie,Welcome to the Dollhouse,Welcome to the Dollhouse,0,1995,\N,88,"Comedy,Drama"
tt0114996,movie,A Chinese Odyssey: Part 2 - Cinderella,Sai yau gei: Sin leui kei yun,0,1995,\N,98,"Action,Adventure,Comedy"
tt0115005,movie,Xiu Xiu: The Sent-Down Girl,Tian yu,0,1998,\N,99,Drama
tt0115040,movie,The Garden,Záhrada,0,1995,\N,99,Comedy
tt0115042,movie,Zamaana Deewana,Zamaana Deewana,0,1995,\N,162,"Action,Comedy,Drama"
tt0115433,movie,101 Dalmatians,101 Dalmatians,0,1996,\N,103,"Adventure,Comedy,Crime"
tt0115472,movie,The Adventures of Pinocchio,The Adventures of Pinocchio,0,1996,\N,96,"Adventure,Drama,Family"
tt0115530,movie,American Buffalo,American Buffalo,0,1996,\N,88,Drama
tt0115568,movie,Army,Army,0,1996,\N,153,"Action,Drama"
tt0115577,movie,Asphalt Tango,Asphalt Tango,0,1996,\N,100,Comedy
tt0115610,movie,Bad Moon,Bad Moon,0,1996,\N,80,"Horror,Thriller"
tt0115624,movie,Barb Wire,Barb Wire,0,1996,\N,98,"Action,Sci-Fi"
tt0115633,tvMovie,Bastard Out of Carolina,Bastard Out of Carolina,0,1996,\N,98,Drama
tt0115639,movie,Beautiful Girls,Beautiful Girls,0,1996,\N,112,"Comedy,Drama,Romance"
tt0115640,movie,Beautiful Thing,Beautiful Thing,0,1996,\N,90,"Comedy,Drama,Romance"
tt0115650,movie,The Green Planet,La belle verte,0,1996,\N,99,"Comedy,Sci-Fi"
tt0115658,movie,Bernie,Bernie,0,1996,\N,87,"Comedy,Drama"
tt0115676,movie,Big Bully,Big Bully,0,1996,\N,90,"Comedy,Thriller"
tt0115683,movie,Bio-Dome,Bio-Dome,0,1996,\N,88,Comedy
tt0115685,movie,The Birdcage,The Birdcage,0,1996,\N,117,Comedy
tt0115701,movie,Blast,Blast,0,1997,\N,105,Action
tt0115736,movie,Bound,Bound,0,1996,\N,109,"Crime,Thriller"
tt0115738,movie,Box of Moonlight,Box of Moonlight,0,1996,\N,112,"Comedy,Drama"
tt0115742,movie,Boys,Boys,0,1996,\N,86,"Drama,Mystery,Romance"
tt0115744,movie,Brassed Off,Brassed Off,0,1996,\N,108,"Comedy,Drama,Music"
tt0115751,movie,Breaking the Waves,Breaking the Waves,0,1996,\N,153,Drama
tt0115783,movie,Bulletproof,Bulletproof,0,1996,\N,84,"Action,Comedy,Crime"
tt0115794,movie,Bambola,Bámbola,0,1996,\N,92,"Drama,Romance"
tt0115822,movie,Captain Conan,Capitaine Conan,0,1996,\N,129,"Drama,War"
